text,link,description
"And you also see where your friends are going to the hospital and you say ""How is he doing?"" Two days later and they say, ""Sir, he's unconscious."" Or ""He's in a coma."" So things are happening that we've never seen before in this country. And with all of that being said, the country's come together like I've never seen it before, and we will prevail, we will win, and hopefully it will be in a relatively short period of time. With that, I'd like to ask Dr. Birx to come up and show you some of the latest data that has been, I think brilliantly put together. And right after that I'm going to ask Dr. Fauci to speak, and Mike Pence is going to give you some of the recent events that have taken place and some of the statistics that we have that I think will be very interesting here. Thank you very much. Please.",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-task-force-briefing-transcript-march-31-painful-weeks-ahead,"Donald Trump and the Coronavirus Task Force held their daily COVID-19 press conference today, March 31. Trump warned of a “very, very painful two weeks” ahead for the United States as the virus spreads. The White House predicts that 100,000 to 240,000 will die of the virus. Read the full transcript of the briefing here."
"And our military is ready like you haven't seen, and you know who are the best? The best guests are the different shows are, we watch the shows at night. And I think the best guests that I've seen in a long time are the military people. And they've never done it before. I've watched General Semonite, who I deal with a lot. I say, ""General, you got to give us two new hospitals in Louisiana."" ""Yes sir."" And the next morning, they're building them at 6",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-task-force-briefing-transcript-march-31-painful-weeks-ahead,"Donald Trump and the Coronavirus Task Force held their daily COVID-19 press conference today, March 31. Trump warned of a “very, very painful two weeks” ahead for the United States as the virus spreads. The White House predicts that 100,000 to 240,000 will die of the virus. Read the full transcript of the briefing here."
"I think we're going to have an incredible following year. We're going to go into a transition in the third quarter, and we're going to see things happening that look good. I really believe that. I have a good feel for this stuff, I've done it for a long time. We built the greatest economy in the world, the greatest economy, frankly. Bret, you can correct me if you'd like. But you can't, because it's fact. The greatest economy that the world has ever seen, and then one day they said, ""Sir, we're going to have to close it."" I said, ""What are you talking about, closing it?"" Nobody ever heard that, ""We're going to have to close it.""",,
"Now, when I said go to the church, I didn't know protesters or not. Nobody tells me that. They say, ""Yes, sir, we'll go to the church."" We walked over to the church. It was very fast. I think it was very symbolic. I did hold up a Bible. I think that's a good thing, not a bad thing, and many religious leaders loved it.",https://www.rev.com/blog/transcripts/donald-trump-radio-interview-transcript-admits-going-to-bunker-during-protests-but-was-for-an-inspection,"Donald Trump did a radio interview on Brian Kilmeade’s Fox News radio show June 3, where he spoke about the protests and said he only went to his White House bunker for a “tiny” period of time to inspect it."
"Nobody expected that from me and people are so happy about it. And you know who's the happiest? The soldiers. I see them all the time. ""What do you think? Should we be here?"" ""No, sir. You shouldn't be here."" ""Why?"" ""They don't like us, sir."" And I'll tell you what, I've rarely met a soldier that's over there. They're better than anybody because they can tell you better than anybody what's happening. Rarely do I meet a soldier that says we should be there. It was the worst mistake, the most costly mistake in the history of our country, going into the Middle East.",https://www.rev.com/blog/transcripts/donald-trump-abc-news-town-hall-transcript-with-george-stephanopoulos-in-philadelphia,"President Donald Trump participated in a Philadelphia town hall with undecided voters, hosted by George Stephanopoulos of ABC News. He faced several tough questions from the audience about a variety of 2020 election issues. Read the full transcript of the September 15, 2020 event here."
"And we've set 144 records on the stock market in three years, 144 records. 144 records. Record stock market. And you know what that means? That your 401Ks are up 60%, 70%, 80%, 90%, 100%. Guys come up to me. He said, ""Mr. President, I just want to thank you. My wife used to look at me like I was a total loser, sir. Every year we lost money for years and years. She said what the hell is wrong with you, Henry? And this year sir, I'm up 92%. She loves to me again. She thinks I'm a genius."" 92% 401K. ""She thinks I'm a genius, sir. She loves me again."" Shows what money can do, right? But that makes... And think of this. Seven million new jobs since we were elected, we were elected.",,
"But that was something to watch and I had no idea. We walked back. I said, ""So how did that work out?"" They said, ""Sir, you just set a new record and the history of the stock market."" So that was pretty good. And those great companies that were there, they couldn't have been too unhappy either when you think about it, because they're all very big publicly listed companies, so they did a good job. And more importantly, they're going to do a good job. When you look at a CVS and Walmart and all of the tremendous people that were there yesterday, these are the biggest and the best and they're opening up their facilities, they are opening up. They're right now, literally working right now, on doing something that's never been done before to the extent that we're doing it and so we're very proud of them.",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-march-14,"Donald Trump held a March 14 coronavirus press conference, one day after he declared the pandemic a national emergency. He was joined by Mike Pence, Jerome Adams, Steve Mnuchin, Ben Carson, Chad Wolf, Dr. Berks, and others. Read the full transcript of his press conference right here."
"So we now have 10,000, and we inherited a system which was broken, just like, I'll never forget the day when a general came and said, ""Sir,"" my first week in office, ""We have no ammunition."" That was in the military. We've now rebuilt our military, stronger than it's ever been, and we have so much ammunition. You wouldn't believe it how much ammunition we have, but same thing here. We had a stockpile that was deficient. We had testing that was no good. We had a testing situation that just wasn't right. It was okay for very small cases, but it was obsolete and it was broken and it was only good for a very small situation, but what I'd like to do is I'd like to ask Dr. Fauci to come forward and discuss the number, because I think the number is going to be a very different number than the numbers that you talked about. Please, Doctor. You might talk about that.",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-task-force-briefing-transcript-march-29-trump-extends-task-force-guidelines-to-april-30,Donald Trump and the Coronavirus Task Force held a March 29 press conference on COVID-19. Trump announced that the White House Task Force “Slow the Spread” guidelines of social distancing 
"You know we had a bad season last year as an example, a bad flu season. You'll have 35, 36, 37,000 people die, sometimes more, sometimes less. This is different and part of this is the unknown. Part of it also is the viciousness of it. I had a friend who went to a hospital the other day. He's a little older and he's heavy, but he's a tough person. He went to the hospital and a day later he's in a coma. I go, ""How's he doing?"" ""Sir, he's in a coma. He's unconscious."" He's not doing well. The speed and the viciousness, especially if it gets the right person, it's horrible. It's really horrible. Please, go ahead.",https://www.rev.com/blog/transcripts/donald-trump-coronavirus-task-force-briefing-transcript-march-29-trump-extends-task-force-guidelines-to-april-30,Donald Trump and the Coronavirus Task Force held a March 29 press conference on COVID-19. Trump announced that the White House Task Force “Slow the Spread” guidelines of social distancing 
"But we're in Chicago and we had massive motorcycle brigades. And you know, those people have to volunteer. I don't know if you know that, but from what I understand they have to volunteer. And I had the biggest brigades. I had brigades sometimes with almost 300 motorcycles. Even I was impressed. I'd look ahead and it was nothing but motorcycles, because they'd volunteer from all of the various states. But this one guy was impressive. He was a rough cookie and really respected guy. I could see he was respected. And he's like, ""All right, come on, get over here, get over here. He's got to get to work. Get over here."" And I said, ""So let me tell you, you're from Chicago?"" ""Yes, sir."" I said, ""What the hell is going on?"" And he said, ""It's a problem can be straightened out."" I said, ""ow long would it take you to straighten out this problem?"" He said, ""If he gave me the authority, couple of days. I really mean it."" I said, ""You really think so?"" He said, ""A couple of days. We know all the bad ones.""",https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-gang-violence-law-enforcement-police,Transcript of Donald Trump’s speech on ending gang violence to a crowd of police officers. He told police officers “
